Id	node	color	Type_1_1	Type_1_2	Type_1_3	Type_1_4	Type_1_5	Type_1_6	Type_2_1	Type_2_2	Type_2_3	Type_2_4	Type_2_5	Type_2_6
	Item.D.1		5.00	13.00	10.00	14.00	3.00	11.00	10.00	7.00	4.00	1.00	10.00	10.00
	Item.D.2		52.00	53.00	103.00	7.00	3.00	95.00	65.00	16.00	48.00	56.00	83.00	52.00
	Item.D.4		66.00	79.00	33.00	94.00	37.00	108.00	66.00	12.00	139.00	133.00	71.00	19.00
	Item.D.5		383.00	1.00	300.00	151.00	166.00	99.00	64.00	350.00	330.00	19.00	23.00	211.00
	Item.D.6		148.00	107.00	44.00	130.00	102.00	71.00	84.00	22.00	111.00	124.00	9.00	21.00
	Item.D.7		15.00	17.00	11.00	7.00	12.00	17.00	16.00	5.00	23.00	15.00	16.00	16.00
	Item.D.8		128.00	60.00	43.00	36.00	34.00	71.00	225.00	223.00	209.00	10.00	20.00	121.00
	Item.D.9		29.00	5.00	24.00	17.00	14.00	28.00	11.00	24.00	20.00	19.00	7.00	21.00
	Item.D.10		140.00	90.00	124.00	31.00	31.00	23.00	126.00	66.00	129.00	59.00	42.00	44.00
	Item.D.13		216.00	478.00	69.00	263.00	487.00	181.00	128.00	478.00	124.00	177.00	385.00	320.00
	Item.D.14		58.00	20.00	70.00	70.00	28.00	0.00	47.00	27.00	29.00	75.00	87.00	48.00
	Item.D.17		60.00	11.00	47.00	52.00	98.00	48.00	7.00	106.00	44.00	13.00	77.00	97.00
	Item.D.18		125.00	436.00	307.00	1289.00	1300.00	264.00	1321.00	1478.00	1903.00	536.00	1506.00	1021.00
	Item.D.19		486474.00	80426.00	337406.00	359411.00	180349.00	23356.00	448445.00	364913.00	157587.00	444145.00	469623.00	130515.00
	Item.D.20		2092.00	6157.00	912.00	3055.00	1937.00	3518.00	4405.00	3147.00	3462.00	4010.00	980.00	2873.00
	Item.D.21		4544.00	3768.00	4592.00	5014.00	3062.00	812.00	588.00	2299.00	308.00	2626.00	2661.00	940.00
	Item.D.22		2707.00	111.00	3893.00	3992.00	2130.00	1832.00	1915.00	4864.00	5724.00	2182.00	2360.00	2968.00
	Item.D.23		1686.00	5001.00	4612.00	7151.00	6656.00	5527.00	2107.00	3627.00	691.00	7083.00	1256.00	2299.00
	Item.D.24		454.00	21683.00	1393.00	17421.00	4246.00	5292.00	3291.00	16894.00	79.00	15746.00	4090.00	19581.00
